Time,HR,VO2,VO2,VE/VO2,VCO2,VE/VCO2,RER,Calories,Fat,CHO
min:sec,BPM,mL/min,mL/kg/min,,mL/kg/min,,,Cals/min,%,%
00:00,96,478,5.94,33.46,5.08,39.18,0.856,2.33,47.4,52.6
00:14,106,788,9.79,31.34,8.83,34.72,0.902,3.88,31.7,68.3
00:29,107,812,10.09,25.56,8.57,30.08,0.85,3.95,49.4,50.6
00:44,108,909,11.29,24.85,9.15,30.66,0.811,4.38,62.9,37.1
00:59,115,1033,12.83,23.34,10.12,29.58,0.789,4.95,70.5,29.5
01:14,119,1649,20.48,21.22,15.2,28.58,0.742,7.8,87.2,12.8
01:29,123,1688,20.97,20.11,15.61,27,0.745,7.99,86.3,13.7
01:44,124,1892,23.5,19.09,17.14,26.18,0.729,8.92,91.8,8.2
01:59,129,1995,24.78,19.58,18.74,25.88,0.756,9.47,82.1,17.9
02:14,134,2174,27,20.52,21.7,25.54,0.804,10.45,65.4,34.6
02:29,134,2026,25.16,21.17,21.1,25.23,0.839,9.82,53.2,46.8
02:44,134,2043,25.37,21.8,21.41,25.83,0.844,9.92,51.4,48.6
02:59,135,2250,27.95,22.97,24.85,25.82,0.889,11.05,36,64
03:14,135,2092,25.98,23.62,24.16,25.41,0.93,10.38,22.6,77.4
03:29,136,2003,24.88,23.54,22.97,25.5,0.923,9.92,24.8,75.2
03:44,139,2156,26.78,23.7,24.9,25.49,0.93,10.7,22.6,77.4
03:59,140,2436,30.26,23.51,28.16,25.26,0.931,12.09,22.4,77.6
04:14,140,2220,27.57,23.26,25.25,25.4,0.916,10.97,27.2,72.8
04:29,141,2001,24.85,23.48,22.65,25.76,0.912,9.88,28.6,71.4
04:44,142,2602,32.32,22.97,29.35,25.3,0.908,12.84,29.8,70.2
04:59,143,2169,26.94,23.12,24.51,25.42,0.91,10.71,29.3,70.7
05:14,145,2183,27.11,22.53,24.31,25.14,0.896,10.74,33.6,66.4
05:29,148,2626,32.62,22.2,28.98,24.99,0.888,12.89,36.3,63.7
05:44,148,2421,30.07,21.73,26.12,25.03,0.869,11.83,43,57
05:59,150,2770,34.4,22.81,31.11,25.22,0.904,13.65,31,69
06:14,152,2223,27.61,22.34,24.77,24.91,0.897,10.94,33.5,66.5
06:29,152,2774,34.45,22.48,31.22,24.82,0.906,13.68,30.4,69.6
06:44,153,2242,27.85,22.35,25.35,24.56,0.91,11.07,29,71
06:59,152,2866,35.6,21.47,31.5,24.25,0.885,14.06,37.5,62.5
07:14,152,2516,31.25,22.16,28.36,24.43,0.907,12.41,30,70
07:29,153,2844,35.32,22.38,32.26,24.51,0.913,14.05,28.1,71.9
07:44,154,2822,35.05,22.13,31.54,24.59,0.9,13.89,32.6,67.4
07:59,155,2550,31.67,22.31,28.93,24.42,0.913,12.6,28,72
08:14,156,2692,33.44,21.44,29.76,24.09,0.89,13.22,35.8,64.2
08:29,158,3052,37.91,21.49,33.91,24.03,0.894,15.01,34.3,65.7
08:44,159,3096,38.45,21.86,34.14,24.62,0.888,15.2,36.5,63.5
08:59,159,3030,37.63,22.29,34.86,24.06,0.926,15.02,23.7,76.3
09:14,161,3070,38.13,22.17,35.03,24.15,0.919,15.19,26.3,73.7
09:29,160,2931,36.4,22.46,34.06,24.01,0.936,14.56,20.8,79.2
09:44,161,2949,36.63,22.15,33.21,24.42,0.907,14.54,30.2,69.8
09:59,161,3111,38.64,22.84,36.38,24.26,0.941,15.48,18.8,81.2
10:14,163,3325,41.3,22.83,38.69,24.37,0.937,16.52,20.3,79.7
10:29,164,2995,37.2,22.82,34.93,24.31,0.939,14.89,19.6,80.4
10:44,165,2941,36.53,22.92,34.32,24.4,0.939,14.62,19.5,80.5
10:59,166,3315,41.17,23.21,39.15,24.42,0.951,16.53,15.8,84.2
11:14,166,2909,36.13,23.03,34.34,24.23,0.95,14.5,15.9,84.1
11:29,166,3553,44.13,22.99,41.98,24.17,0.951,17.72,15.6,84.4
11:44,167,3456,42.92,23.56,40.81,24.77,0.951,17.23,15.8,84.2
11:59,168,3321,41.25,24.42,40.78,24.7,0.989,16.71,3.7,96.3
12:14,169,2796,34.73,24.33,34.09,24.79,0.982,14.05,5.8,94.2
12:29,170,3525,43.78,23.58,42.27,24.42,0.965,17.64,11.1,88.9
12:44,170,3529,43.83,24.38,43.12,24.79,0.984,17.74,5.2,94.8
12:59,172,3727,46.29,24.42,45.15,25.04,0.975,18.7,7.9,92.1
13:14,173,3396,42.18,25.68,42.37,25.56,1.004,17.14,0,100
13:29,175,3284,40.79,25.64,40.9,25.58,1.003,16.57,0,100
13:44,174,3829,47.56,26.06,47.97,25.83,1.009,19.32,0,100
13:59,175,3704,46.01,26.92,46.86,26.43,1.019,18.69,0,100
14:14,176,3092,38.4,27.84,39.99,26.73,1.041,15.61,0,100
14:29,176,3625,45.02,27.12,46.24,26.41,1.027,18.3,0,100
14:44,176,3603,44.75,26.63,45.16,26.38,1.009,18.18,0,100
14:59,176,3595,44.65,26.99,45.36,26.57,1.016,18.14,0,100
15:14,177,3722,46.23,26.03,46.65,25.8,1.009,18.78,0,100
15:29,177,3586,44.54,26.21,44.63,26.15,1.002,18.1,0,100
15:44,178,3784,47,26.22,47.43,25.99,1.009,19.1,0,100
15:59,179,3587,44.55,26.77,45.52,26.2,1.022,18.1,0,100
16:14,180,4021,49.94,26.99,50.95,26.45,1.02,20.29,0,100
16:29,181,3816,47.4,27.41,48.32,26.89,1.019,19.26,0,100
16:44,182,3892,48.34,28.35,50.43,27.18,1.043,19.64,0,100
16:59,182,3835,47.63,28.54,49.93,27.23,1.048,19.36,0,100
17:14,183,4044,50.23,28.55,52.59,27.26,1.047,20.41,0,100
17:29,183,4087,50.76,28.23,53,27.04,1.044,20.63,0,100
17:44,185,3887,48.28,30,50.85,28.49,1.053,19.62,0,100
17:59,183,4055,50.36,30.51,54.35,28.27,1.079,20.47,0,100
18:14,179,3635,45.15,31.74,49.78,28.79,1.103,18.35,0,100
18:29,172,3293,40.9,31.31,44.99,28.46,1.1,16.62,0,100
18:44,164,2911,36.16,30.5,39.14,28.18,1.082,14.69,0,100
18:59,155,2275,28.26,31.35,34.14,25.94,1.208,11.48,0,100
19:14,150,3082,38.28,27.18,38.07,27.33,0.994,15.53,1.8,98.2
19:29,144,2120,26.33,31.7,28.47,29.32,1.081,10.7,0,100
19:44,138,2247,27.91,31.54,30.22,29.13,1.083,11.34,0,100
19:59,137,1959,24.33,31.23,26.47,28.7,1.088,9.89,0,100
20:14,134,1503,18.67,28.93,19.95,27.07,1.069,7.59,0,100
20:29,132,1894,23.52,24.98,22.59,26.01,0.96,9.47,12.7,87.3
20:44,132,2984,37.06,24.6,32.03,28.46,0.864,14.56,44.5,55.5
